Level,Actor1,Actor2,Actor3,Actor6
1,0,0,0,0
2,50,250,250,250
3,100,375,375,375
4,200,500,500,500
5,300,625,625,625
6,500,750,750,750
7,700,875,875,875
8,1000,1000,1000,1000
9,1300,1125,1125,1125
10,1700,1250,1250,1250
11,2100,1375,1375,1375
12,2600,1500,1500,1500
13,3100,1625,1625,1625
14,3700,1750,1750,1750
15,4300,1875,1875,1875
16,5000,2000,2000,2000
17,5700,2125,2125,2125
18,6500,2250,2250,2250
19,7300,2375,2375,2375
20,8200,2500,2500,2500
21,9000,2625,2625,2625
22,9900,2750,2750,2750
23,10800,2875,2875,2875
24,12000,3000,3000,3000
25,13000,3125,3125,3125
26,14000,3250,3250,3250
27,15000,3375,3375,3375
28,16000,3500,3500,3500
29,17000,3625,3625,3625
30,18000,3750,3750,3750
31,19000,3875,3875,3875
32,20000,4000,4000,4000
33,21000,4125,4125,4125
